question,answer
"Что такое микросхема сброса?","Микросхема сброса (супервайзер) — это специализированная ИС, которая отслеживает напряжение питания микропроцессора или микроконтроллера и генерирует сигнал аппаратного сброса при снижении напряжения ниже порогового уровня, обеспечивая корректный старт системы. Примеры: MAX809, MCP100."
"Что такое датчик углеводородов?","Датчик углеводородов — это газовый сенсор, в основе которого лежит изменение проводимости слоя оксида олова при адсорбции молекул горючих газов (метана, пропан-бутана) на его поверхности. Требует нагревательного элемента и калибровки под конкретную среду. Примеры: MQ-4 (метан), MQ-9 (пропан)."
"Что такое многофункциональный кнопочный энкодер?","Многофункциональный кнопочный энкодер — это комбинированное устройство, объединяющее в одном корпусе инкрементальный энкодер для ввода дискретных значений (поворот) и тактовую кнопку (нажатие на ось). Используется в человеко-машинных интерфейсах для меню, регулировок, навигации."
"Что такое термопринтер?","Термопринтер — это устройство печати, в котором изображение формируется на специальной термочувствительной бумаге путём локального нагрева элементов печатающей головки под управлением контроллера. Состоит из шагового двигателя для протяжки бумаги и нагревательной головки. Применяется в кассовых аппаратах, чеках."
"Что такое ферритовый фильтр?","Ферритовый фильтр — это пассивный компонент, представляющий собой ферромагнитный материал в форме кольца или цилиндра, надеваемый на кабель. Повышает индуктивность провода и поглощает высокочастотные синфазные помехи, преобразуя их в тепло. Используется для подавления электромагнитных помех."
"Что такое датчик уровня жидкости?","Датчик уровня жидкости — это устройство для определения наличия или уровня жидкости в резервуаре. Типы: поплавковый (использует магнит и геркон), ёмкостной (изменение ёмкости электрода), оптический (преломление луча на границе сред), ультразвуковой (измерение времени отражения сигнала)."
"Что такое датчик разрыва?","Датчик разрыва (End-of-Line resistor) — это резистор, устанавливаемый в конце шлейфа охранной сигнализации. Его номинал контролируется приёмно-контрольным прибором для обнаружения попытки обхода датчиков (короткого замыкания) или обрыва линии. Элемент системы безопасности."
"Что такое изолятор питания?","Изолятор питания — это DC-DC преобразователь с гальванической развязкой, в котором входная и выходная цепи электрически изолированы друг от друга (обычно с помощью трансформатора), что исключает протекание постоянного тока и повышает безопасность/помехоустойчивость. Используется в медицинской, промышленной аппаратуре."
"Что такое гироскоп?","Гироскоп — это датчик угловой скорости, измеряющий скорость вращения вокруг одной или нескольких осей. Современные MEMS-гироскопы определяют скорость по изменению ёмкости между подвижными и неподвижными электродами при воздействии силы Кориолиса. Пример: MPU-6050 (содержит гироскоп и акселерометр)."
"Что такое усилитель с программируемым коэффициентом усиления?","Усилитель с программируемым коэффициентом усиления (PGA) — это интегральная схема (часто в составе АЦП или отдельно), коэффициент усиления которой может изменяться цифровыми сигналами. Позволяет адаптировать диапазон измеряемого сигнала под входной диапазон АЦП, увеличивая разрешающую способность."
"Что такое датчик точки росы?","Датчик точки росы — это прибор, измеряющий температуру, при которой водяной пар в воздухе начинает конденсироваться. В электронных системах часто вычисляется по показаниям комбинированного датчика температуры и влажности (T/RH sensor). Используется в метеорологии, климатических камерах, системах вентиляции."
"Что такое цифровой изолятор?","Цифровой изолятор — это интегральная схема, передающая цифровые сигналы между двумя электрически изолированными цепями с помощью магнитной (индуктивной) или ёмкостной связи, что обеспечивает высокую скорость и надёжность по сравнению с оптопарами. Примеры: ADuMxxxx (индуктивная), ISO77xx (ёмкостная)."
"Что такое микросхема защиты от перенапряжения и переполюсовки?","Микросхема защиты от перенапряжения и переполюсовки — это специализированная ИС, которая автоматически отключает нагрузку при превышении заданного входного напряжения, слишком высоком токе потребления или неправильной полярности подключения источника питания. Пример: TPS25940, используется для защиты портов USB, аккумуляторов."
